repository,category,technique,github_url,stars,forks,open_issues,archived,license,last_push_utc,primary_language,default_branch,created_utc,updated_utc,homepage,description,evidence_grade,local_benchmark_status,prompt_tokens_reduced,target_model_agnostic,query_aware,extractive,abstractive,token_pruning,sentence_pruning,reranking,local_execution,cpu_viable,gpu_optional,cheap_model_supported,model_free,streaming_safe,structured_data_safe,code_safe,citation_safe,instruction_hierarchy_safe,reversible,fallback_capable,proxy_integration,openai_compatible,python_api,cli,batch,quality_evaluation,latency_measurement,long_context_focus,kv_cache_only,savings_20,quality_20,latency_10,local_deploy_10,model_footprint_8,proxy_integration_12,safety_reversibility_8,maturity_7,popularity_5,total_100,crown,notes,captured_at_utc
huggingface/sentence-transformers,rag-compression,embedding similarity selection,https://github.com/huggingface/sentence-transformers,18923,2830,1296,False,Apache-2.0,2026-07-20T08:50:41Z,Python,main,2019-07-24T10:53:51Z,2026-07-20T11:52:20Z,https://www.sbert.net,"State-of-the-Art Embeddings, Retrieval, and Reranking",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,yes,no,no,no,10.0,14.0,7.0,8.0,6.0,7.0,6.0,7.0,4.5,69.5,,Generic building block requiring policy and chunking,2026-07-20T15:18:47.402949+00:00
microsoft/promptflow,prompt-optimization,prompt workflow and LLMLingua tool,https://github.com/microsoft/promptflow,11185,1113,73,False,MIT,2026-07-09T22:00:22Z,Python,main,2023-06-30T06:03:06Z,2026-07-20T05:50:19Z,https://microsoft.github.io/promptflow/,"Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,10.0,16.0,5.0,6.0,4.0,10.0,6.0,7.0,4.5,68.5,,Mature orchestration and direct LLMLingua integration,2026-07-20T15:18:47.402949+00:00
ggml-org/llama.cpp,kv-cache,local inference and prompt caching,https://github.com/ggml-org/llama.cpp,121039,20797,1895,False,MIT,2026-07-20T14:43:39Z,C++,master,2023-03-10T18:58:00Z,2026-07-20T15:18:52Z,https://llama.app,LLM inference in C/C++,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,partial,partial,yes,no,yes,yes,no,no,no,no,no,no,yes,0.0,17.0,8.0,9.0,7.0,7.0,8.0,7.0,5.0,68.0,,Could host the cheap intermediary locally but is not a compressor,2026-07-20T15:18:47.402949+00:00
liyucheng09/Selective_Context,prompt-compression,self-information token pruning,https://github.com/liyucheng09/Selective_Context,423,25,12,False,[UNVERIFIZIERT] (NOASSERTION),2024-02-12T22:49:54Z,Python,main,2023-03-29T21:03:22Z,2026-07-14T17:11:42Z,,"Compress your input to ChatGPT or other LLMs, to let them process 2x more content and save 40% memory and GPU time.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,14.0,13.0,7.0,8.0,6.0,7.0,4.0,4.0,2.5,65.5,,Research implementation; useful baseline but limited maintenance,2026-07-20T15:18:47.402949+00:00
carriex/recomp,rag-compression,extractive and abstractive retrieval compression,https://github.com/carriex/recomp,148,8,4,False,MIT,2026-01-06T23:10:37Z,Python,main,2023-10-04T23:58:16Z,2026-07-15T11:50:41Z,,RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,partial,no,no,no,no,no,yes,no,no,yes,no,no,no,15.0,16.0,5.0,6.0,4.0,7.0,5.0,5.0,2.5,65.5,,RECOMP selectively augments and can emit an empty context,2026-07-20T15:18:47.402949+00:00
3DAgentWorld/Toolkit-for-Prompt-Compression,prompt-compression,multi-method research toolkit,https://github.com/3DAgentWorld/Toolkit-for-Prompt-Compression,291,10,0,False,MIT,2025-02-11T14:46:15Z,Python,main,2024-03-08T03:16:34Z,2026-07-11T23:39:11Z,,Toolkit for Prompt Compression,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,16.0,14.0,5.0,7.0,4.0,8.0,4.0,5.0,2.5,65.5,,Evaluation-oriented toolkit rather than production proxy,2026-07-20T15:18:47.402949+00:00
RUC-NLPIR/FlashRAG,rag-compression,research RAG toolkit,https://github.com/RUC-NLPIR/FlashRAG,3525,311,38,False,MIT,2026-07-19T10:20:30Z,Python,main,2024-03-14T01:40:33Z,2026-07-20T07:46:10Z,https://arxiv.org/abs/2405.13576,⚡FlashRAG: A Python Toolkit for Efficient RAG Research (WWW2025 Resource),GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,yes,no,yes,no,13.0,15.0,5.0,6.0,4.0,7.0,5.0,6.0,3.5,64.5,,Broad reproducible RAG research surface,2026-07-20T15:18:47.402949+00:00
promptfoo/promptfoo,prompt-optimization,prompt evaluation and red teaming,https://github.com/promptfoo/promptfoo,23438,2097,427,False,MIT,2026-07-20T14:43:12Z,TypeScript,main,2023-04-28T15:48:49Z,2026-07-20T14:28:52Z,https://promptfoo.dev,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,0.0,17.0,5.0,9.0,8.0,6.0,8.0,7.0,4.5,64.5,,Best used to gate compressor quality rather than compress,2026-07-20T15:18:47.402949+00:00
vllm-project/vllm,kv-cache,paged attention and prefix caching,https://github.com/vllm-project/vllm,86708,19630,5910,False,Apache-2.0,2026-07-20T14:56:57Z,Python,main,2023-02-09T11:23:20Z,2026-07-20T15:16:42Z,https://vllm.ai,A high-throughput and memory-efficient inference and serving engine for LLMs,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,partial,partial,yes,no,yes,yes,no,no,no,no,no,no,yes,0.0,18.0,9.0,5.0,2.0,8.0,8.0,7.0,5.0,62.0,,"Serving engine replacement, not Headroom-side prompt reduction",2026-07-20T15:18:47.402949+00:00
jina-ai/late-chunking,rag-compression,context-aware chunk embeddings,https://github.com/jina-ai/late-chunking,532,48,1,False,Apache-2.0,2024-12-23T13:38:26Z,Python,main,2024-08-06T12:33:59Z,2026-07-19T09:08:06Z,,Code for explaining and evaluating late chunking (chunked pooling),GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,no,no,yes,no,no,yes,no,yes,no,9.0,16.0,5.0,6.0,4.0,6.0,6.0,5.0,3.0,60.0,,Improves retrieval context but does not directly rewrite prompts,2026-07-20T15:18:47.402949+00:00
LMCache/LMCache,kv-cache,distributed KV cache reuse,https://github.com/LMCache/LMCache,10732,1583,420,False,Apache-2.0,2026-07-20T10:16:53Z,Python,dev,2024-05-28T21:06:04Z,2026-07-20T15:13:21Z,https://lmcache.ai/,LMCache: Supercharge Your LLM with the Fastest KV Cache Layer,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,partial,partial,yes,no,yes,no,yes,no,no,no,no,no,yes,0.0,18.0,8.0,5.0,3.0,6.0,8.0,7.0,4.5,59.5,,"Reduces prefill compute and latency, not transmitted prompt tokens",2026-07-20T15:18:47.402949+00:00
stanfordnlp/dspy,prompt-optimization,programmatic prompt optimization,https://github.com/stanfordnlp/dspy,36251,3115,611,False,MIT,2026-07-20T15:18:05Z,Python,main,2023-01-09T21:01:51Z,2026-07-20T15:04:03Z,https://dspy.ai,DSPy: The framework for programming—not prompting—language models,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,2.0,18.0,3.0,6.0,4.0,8.0,6.0,7.0,4.5,58.5,,"Excellent offline optimization framework, not request compaction",2026-07-20T15:18:47.402949+00:00
langgptai/LangGPT,prompt-enhancement,structured prompt framework,https://github.com/langgptai/LangGPT,12362,936,0,False,Apache-2.0,2026-07-16T14:03:09Z,Jupyter Notebook,main,2023-05-06T13:49:43Z,2026-07-20T14:55:28Z,https://github.com/langgptai,"LangGPT: Empowering everyone to become a prompt expert! 🚀  📌 结构化提示词（Structured Prompt）提出者 📌 元提示词（Meta-Prompt）发起者   📌 最流行的提示词落地范式 | Language of GPT  The pioneering framework for structured & meta-prompt design 10,000+ ⭐ | Battle-tested by thousands of users worldwide  Created by 云中江树",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0.0,11.0,9.0,10.0,8.0,4.0,5.0,6.0,4.5,57.5,,Structure improves clarity but usually grows token count,2026-07-20T15:18:47.402949+00:00
princeton-nlp/AutoCompressors,prompt-compression,learned summary tokens,https://github.com/princeton-nlp/AutoCompressors,337,26,5,False,[UNVERIFIZIERT] (NOASSERTION),2024-09-09T20:26:40Z,Python,main,2023-05-24T01:40:22Z,2026-07-14T17:12:41Z,https://arxiv.org/abs/2305.14788,[EMNLP 2023] Adapting Language Models to Compress Long Contexts,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,17.0,14.0,3.0,4.0,2.0,5.0,4.0,5.0,2.5,56.5,,Research method requiring model-side support,2026-07-20T15:18:47.402949+00:00
Dao-AILab/flash-attention,kv-cache,IO-aware exact attention,https://github.com/Dao-AILab/flash-attention,24497,2918,1216,False,BSD-3-Clause,2026-07-19T23:09:52Z,Python,main,2022-05-19T21:22:06Z,2026-07-20T14:35:22Z,,Fast and memory-efficient exact attention,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,0.0,19.0,10.0,3.0,2.0,2.0,8.0,7.0,4.5,55.5,,"Exact attention acceleration, not context compression",2026-07-20T15:18:47.402949+00:00
flashinfer-ai/flashinfer,kv-cache,LLM inference kernels,https://github.com/flashinfer-ai/flashinfer,5987,1172,831,False,Apache-2.0,2026-07-20T12:50:41Z,Python,main,2023-07-22T00:29:04Z,2026-07-20T14:47:02Z,https://flashinfer.ai,FlashInfer: Kernel Library for LLM Serving,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0.0,18.0,10.0,3.0,2.0,3.0,8.0,7.0,4.0,55.0,,Runtime kernel library only,2026-07-20T15:18:47.402949+00:00
Agenta-AI/agenta,prompt-optimization,prompt management and evaluation,https://github.com/Agenta-AI/agenta,4313,575,224,False,[UNVERIFIZIERT] (NOASSERTION),2026-07-20T15:08:23Z,TypeScript,main,2023-04-26T09:54:28Z,2026-07-20T13:25:48Z,http://www.agenta.ai,"The open-source workspace for building and running AI agents. Build agents through chat, share them with your team, and run background agents on schedules or app events.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,0.0,16.0,4.0,6.0,5.0,8.0,6.0,6.0,3.5,54.5,,"Evaluation platform, not a compression algorithm",2026-07-20T15:18:47.402949+00:00
ZongqianLi/500xCompressor,prompt-compression,learned extreme compression,https://github.com/ZongqianLi/500xCompressor,65,8,4,False,[UNVERIFIZIERT] (NOASSERTION),2026-03-09T13:58:06Z,Python,main,2024-06-26T14:12:16Z,2026-07-14T17:12:47Z,,[ACL 2025 Main] Repository for the paper: 500xCompressor: Generalized Prompt Compression for Large Language Models,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,20.0,11.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,54.0,,Extreme upstream ratio; deployment and fidelity risk are high,2026-07-20T15:18:47.402949+00:00
SylphAI-Inc/AdalFlow,prompt-optimization,auto-differentiated LLM applications,https://github.com/SylphAI-Inc/AdalFlow,4185,379,66,False,MIT,2026-05-29T05:49:13Z,Python,main,2024-04-19T05:05:13Z,2026-07-20T13:17:19Z,http://adalflow.sylph.ai/,AdalFlow: The library to build & auto-optimize LLM applications.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,1.0,17.0,3.0,6.0,4.0,7.0,6.0,6.0,3.5,53.5,,Offline/iterative optimization framework,2026-07-20T15:18:47.402949+00:00
NVIDIA/TensorRT-LLM,kv-cache,GPU inference and KV optimization,https://github.com/NVIDIA/TensorRT-LLM,14163,2581,1541,False,[UNVERIFIZIERT] (NOASSERTION),2026-07-20T14:39:26Z,Python,main,2023-08-16T17:14:27Z,2026-07-20T14:43:18Z,https://nvidia.github.io/TensorRT-LLM,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in a performant way.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0.0,18.0,10.0,2.0,1.0,3.0,8.0,7.0,4.5,53.5,,Requires NVIDIA stack and target-model hosting control,2026-07-20T15:18:47.402949+00:00
microsoft/LLMLingua,prompt-compression,token-level small-model compression,https://github.com/microsoft/LLMLingua,6453,401,119,False,MIT,2026-04-08T18:59:13Z,Python,main,2023-07-07T06:26:00Z,2026-07-20T12:51:48Z,https://llmlingua.com/,"[EMNLP'23, ACL'24] To speed up LLMs' inference and enhance LLM's perceive of key information, compress the prompt and KV-Cache, which achieves up to 20x compression with minimal performance loss. ",GitHub API + primary README + category inference,"measured: LLMLingua-2 mBERT CPU, 3 fixtures",yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,14.0,5.0,1.0,4.0,4.0,11.0,2.0,7.0,4.0,52.0,,"Paper leader; local unconditional LLMLingua-2 CPU run averaged 41.4% saving, 18.7% deterministic quality and 37.0s latency",2026-07-20T15:18:47.402949+00:00
mit-han-lab/streaming-llm,kv-cache,attention sinks and rolling cache,https://github.com/mit-han-lab/streaming-llm,7248,399,50,False,MIT,2024-07-11T08:14:43Z,Python,main,2023-09-29T17:45:40Z,2026-07-19T12:57:34Z,https://arxiv.org/abs/2309.17453,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,16.0,9.0,4.0,3.0,3.0,6.0,7.0,4.0,52.0,,"Streaming context support, no paid-input token saving",2026-07-20T15:18:47.402949+00:00
NVIDIA/kvpress,kv-cache,unified KV compression library,https://github.com/NVIDIA/kvpress,1142,160,7,False,Apache-2.0,2026-07-09T08:52:12Z,Python,main,2024-11-06T19:23:20Z,2026-07-20T09:17:44Z,,LLM KV cache compression made easy,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,0.0,17.0,8.0,4.0,2.0,4.0,6.0,6.0,3.5,50.5,,Best KV experimentation surface; not proxy-side prompt compression,2026-07-20T15:18:47.402949+00:00
gepa-ai/gepa,prompt-optimization,reflective prompt optimization,https://github.com/gepa-ai/gepa,5703,468,108,False,MIT,2026-07-18T00:24:23Z,Jupyter Notebook,main,2025-08-05T09:26:27Z,2026-07-20T13:52:41Z,https://gepa-ai.github.io/gepa/,"Optimize prompts, code, and more with AI-powered Reflective Optimization",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,1.0,18.0,2.0,5.0,3.0,6.0,5.0,6.0,4.0,50.0,,High-quality offline search with substantial inference cost,2026-07-20T15:18:47.402949+00:00
microsoft/MInference,kv-cache,sparse long-context prefill,https://github.com/microsoft/MInference,1221,78,93,False,MIT,2026-04-08T08:04:38Z,Python,main,2024-05-22T12:59:47Z,2026-07-10T13:29:20Z,https://aka.ms/MInference,"[NeurIPS'24 Spotlight, ICLR'25, ICML'25] To speed up Long-context LLMs' inference, approximate and dynamic sparse calculate the attention, which reduces inference latency by up to 10x for pre-filling on an A100 while maintaining accuracy.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,0.0,17.0,9.0,3.0,2.0,3.0,6.0,6.0,3.5,49.5,,Prefill acceleration requires runtime control,2026-07-20T15:18:47.402949+00:00
yale-sys/prompt-cache,kv-cache,structured prefix cache,https://github.com/yale-sys/prompt-cache,115,14,5,False,MIT,2024-11-09T14:39:51Z,Python,main,2023-09-01T04:53:51Z,2026-07-14T17:12:32Z,,Modular and structured prompt caching for low-latency LLM inference,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,0.0,17.0,9.0,3.0,2.0,3.0,7.0,5.0,2.5,48.5,,"Compute/latency cache, requires inference runtime integration",2026-07-20T15:18:47.402949+00:00
microsoft/PromptWizard,prompt-optimization,agent-driven offline optimization,https://github.com/microsoft/PromptWizard,3898,338,23,False,MIT,2025-10-13T21:51:01Z,Python,main,2024-05-30T08:05:17Z,2026-07-19T05:21:58Z,,Task-Aware Agent-driven Prompt Optimization Framework,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,0.0,17.0,2.0,5.0,4.0,5.0,5.0,6.0,3.5,47.5,,Offline optimizer; unsuitable for every-request latency path,2026-07-20T15:18:47.402949+00:00
microsoft/LMOps,prompt-optimization,Promptist and LLM operations,https://github.com/microsoft/LMOps,4438,374,117,False,MIT,2026-06-17T00:17:36Z,Python,main,2022-12-13T12:56:21Z,2026-07-20T11:20:01Z,https://aka.ms/GeneralAI,General technology for enabling AI capabilities w/ LLMs and MLLMs,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,1.0,15.0,3.0,5.0,4.0,5.0,5.0,6.0,3.5,47.5,,Umbrella research repository with Promptist assets,2026-07-20T15:18:47.402949+00:00
